state,page_type,url,external,notes,verify_status,http_status,final_url,flag_for_review
FL,homepage,https://dos.fl.gov/elections/,false,Division of Elections landing page; the state-level counterpart to a county SOE front page,ok,,,
FL,elections,https://dos.fl.gov/elections/for-voters/election-dates/,false,statewide election calendar,ok,,,
FL,voter_registration,https://dos.fl.gov/elections/for-voters/voter-registration/register-to-vote-or-update-your-information/,false,"registration instructions; the online application itself is registertovoteflorida.gov, a session app and not a diffable page",ok,,,
FL,polling,https://dos.fl.gov/elections/for-voters/check-your-voter-status-and-polling-place/,false,"state voter/polling-place lookup; the state has no polling-place list of its own, only the lookup",ok,,,
FL,early_voting,https://dos.fl.gov/elections/for-voters/voting/early-voting/,false,early voting and secure ballot intake stations,ok,,,
FL,results,https://floridaelectionwatch.gov/,true,"Florida Election Watch, the state's own results portal — off the dos.fl.gov domain, hence external",ok,,,
TX,homepage,https://www.sos.state.tx.us/elections/index.shtml,false,SOS Elections Division landing page; 403s a plain fetch and needs the headless path,ok,,,
TX,elections,https://www.sos.state.tx.us/elections/voter/important-election-dates.shtml,false,"statewide election calendar. NOT laws/current-elections-information.shtml, which redirects back to the division index",ok,,,
TX,voter_registration,https://www.votetexas.gov/register-to-vote/index.html,true,"VoteTexas.gov is the SOS's voter-facing portal on its own domain — same office, different host",ok,,,
TX,polling,https://www.votetexas.gov/voting/where.html,true,VoteTexas.gov polling-place finder,ok,,,
TX,early_voting,https://www.votetexas.gov/voting/early-voting.html,true,VoteTexas.gov early voting in person,ok,,,
TX,results,https://www.sos.state.tx.us/elections/historical/index.shtml,false,SOS Election Results/Data. The live ENR app (goelect.txelections.civixapps.com) is a JS shell that renders ~800 chars and makes a poor diff artifact,ok,,,
